Mã,Tên trường,Địa chỉ,Website,Tỉnh thành,Đơn vị chủ quản
TCT,Trường Đại học Cần Thơ,"Khu II, đường 3/2, P. Xuân Khánh, Q. Ninh Kiều, Cần Thơ",www.ctu.edu.vn,Cần Thơ,Bộ Giáo Dục Và Đào Tạo
TCU,Trường Đại học Thông tin liên lạc,"Số 101, đường Mai Xuân Thưởng, phường Vĩnh Hòa, Nha Trang",tcu.edu.vn,Nha Trang,Bộ Quốc Phòng
TDD,Trường Đại học Thành Đô,"Km 15 Quốc lộ 32, Kim Chung, Hoài Đức,  Hà Nội",thanhdo.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
TDL,Trường Đại học Đà Lạt,"Số 1 Phù Đổng Thiên Vương, Phường 8, Thành phố Đà Lạt, Lâm Đồng",www.dlu.edu.vn,Lâm Đồng,Bộ Giáo Dục Và Đào Tạo
TDM,Trường Đại học Thủ Dầu Một,"Số 6 Trần Văn Ơn, phường Phú Hòa, TP. Thủ Dầu Một, Bình Dương",tdmu.edu.vn,Bình Dương,UBND Tỉnh Bình Dương
TDV,Trường Đại học Vinh,"Số 182, đường Lê Duẩn, thành phố Vinh, Nghệ An",www.vinhuni.edu.vn,Nghệ An,Bộ Giáo Dục Và Đào Tạo
THP,Trường Đại học Hải Phòng,"Số 171 Phan Đăng Lưu, Kiến An, Hải Phòng",dhhp.edu.vn,Hải Phòng,UBND TP. Hải Phòng
THV,Trường Đại học Hùng Vương,"Phường Nông Trang, thành phố Việt Trì,  Phú Thọ",www.hvu.edu.vn,Phú Thọ,UBND Tỉnh Phú Thọ
TKG,Trường Đại học Kiên Giang,"Số 320A, Quốc lộ 61, thị trấn Minh Lương, huyện Châu Thành, Kiên Giang",www.vnkgu.edu.vn,Kiên Giang,Bộ Giáo Dục Và Đào Tạo
TLA,Trường Đại học Thuỷ lợi,"Số 175 Tây Sơn, Trung Liệt, Đống Đa, Hà Nội",tlu.edu.vn,Hà Nội,Bộ Nông Nghiệp Và Phát Triển Nông Thôn
TSN,Trường Đại học Nha Trang,"Số 2 Nguyễn Đình Chiểu, Vĩnh Thọ, Thành phố Nha Trang, Khánh Hòa",ntu.edu.vn,Khánh Hòa,Bộ Giáo Dục Và Đào Tạo
TTB,Trường Đại học Tây Bắc,"Phường Quyết Tâm, TP Sơn La, Sơn La",www.utb.edu.vn,Sơn La,Bộ Giáo Dục Và Đào Tạo
TTG,Trường Đại học Tiền Giang,"Số 119 đường Ấp Bắc, Phường 5, Thành phố Mỹ Tho, Tiền Giang",www.tgu.edu.vn,Tiền Giang,UBND Tỉnh Tiền Giang
TTN,Trường Đại học Tây Nguyên,"567 Lê Duẩn, Ea Tam, Thành phố Buôn Ma Thuột, Đắk Lắk ",ttn.edu.vn,Đắk Lắk,Bộ Giáo Dục Và Đào Tạo
TTQ,Trường Đại học Tư thục Quốc tế Sài Gòn,"8C & 16 Tống Hữu Định, Phường Thảo Điền, Quận 2, Tp.HCM",www.siu.edu.vn,Tp.HCM,Bộ Giáo Dục Và Đào Tạo
TTU,Trường Đại học Tân Tạo,"Đại lộ Đại học Tân Tạo, Tân Đức E. City, Huyện Đức Hòa,  Long An",ttu.edu.vn,Long An,Bộ Giáo Dục Và Đào Tạo
UKB,Trường Đại học Kinh Bắc,"Phố Phúc Sơn, Phường Vũ Ninh, Bắc Ninh",www.daihockinhbac.edu.vn,Bắc Ninh,Bộ Giáo Dục Và Đào Tạo
VGU,Trường Đại học Việt Đức,"Đường Lê Lai, Phường Hòa Phú, Thành phố Thủ Dầu Một,  Bình Dương",www.vgu.edu.vn,Bình Dương,Bộ Giáo Dục Và Đào Tạo
VHD,Trường Đại học Công nghiệp Việt - Hung,"Số 16, phố Hữu Nghị, phường Xuân Khanh, Sơn Tây, Hà Nội",viu.edu.vn,Hà Nội,Bộ Công Thương
VLU,Trường Đại học Sư phạm Kỹ thuật Vĩnh Long,"Số 73 Nguyễn Huệ, Phường 2, Vĩnh Long",www.vlute.edu.vn,Vĩnh Long,Bộ Lao Động Thương Binh Và Xã Hội
VUI,Trường Đại học Công nghiệp Việt Trì,"Số 9, đường Tiên Sơn, phường Tiên Cát, thành phố Việt Trì, Phú Thọ",vui.edu.vn,Phú Thọ,Bộ Công Thương
XDA,Trường Đại học Xây dựng,"Số 55 đường Giải Phóng, Quận Hai Bà Trưng, Hà Nội",tuyensinh.nuce.edu.vn,Hà Nội,Bộ Giáo Dục Và Đào Tạo
ZPH,Trường Đại học Trần Đại Nghĩa (hệ dân sự),"189 Nguyễn Oanh, Phường 10, Q. Gò Vấp, TP. Hồ Chí Minh",www.tdnu.edu.vn,TP. Hồ Chí Minh,Bộ Quốc Phòng
